year,end,id,role,district,school,etlp_learningtargets,etlp_studentsassess,etlp_studentsidentify,etlp_feedbacktotargets,etlp_studenttostudentfeedback,etlp_studentsstatecriteria,etlp_instructionstatestandards,cfa_usecfa,cfa_allincfa,etlp_cfa_studentreviewscfa,cfa_cfausedtoplan,memberofteam,dbdm_teamreviewsdata,dbdm_teampositive,dbdm_effectiveteamingpractices,dbdm_datadeterminepractices,dbdm_visualrepresetations,lead_leadersmanage,lead_teachertoteacherfeedback,lead_leadercommitted,lead_leaderactive,pd_pdinstruuction,pd_coachinginstruction,pd_pdmonitor,pd_teacherfeedbackinstruction
Baseline,2017-03-01 9:24,R_2ro0q0JDeFzpoVE,Teacher,MERAMEC VALLEY R-III,Truman Elementary,3,4,4,4,4,1,5,5,5,5,5,1,2,5,4,4,4,1,1,3,1,5,2,2,1
Baseline,2017-03-01 9:30,R_1f3ryxTzd3ZPY1X,Teacher,MCDONALD CO. R-I,WHITE ROCK ELEM.,2,2,2,2,2,2,2,4,3,3,3,1,2,2,2,4,4,4,4,4,5,3,5,4,2
Baseline,2017-03-01 9:40,R_1GT7JlCx93VyBWC,Building Administrator,SEDALIA 200,Horace Mann Elementary,4,4,4,5,4,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,,5,4,4
Baseline,2017-03-01 9:45,R_1l0lb1RkcbHsqsU,Teacher,MCDONALD CO. R-I,Noel Primary,2,5,3,5,4,2,5,4,5,4,5,1,5,5,5,5,5,5,5,4,5,5,3,3,5
Baseline,2017-03-01 9:50,R_4Pm9me6e5yvt4pH,Teacher,FT. ZUMWALT R-II,Ostmann Elementary School,2,3,4,4,4,3,5,5,5,4,4,1,4,5,4,5,5,4,4,4,5,5,4,5,4
Baseline,2017-03-01 10:04,R_qF5W1pC3emXWWOJ,Teacher,MERAMEC VALLEY R-III,Zitzman Elementary,4,2,4,4,5,2,5,4,5,4,5,1,5,5,5,4,5,5,4,4,5,5,3,4,3
Baseline,2017-03-01 10:07,R_2D83B4qxq8UTrzW,Teacher,POPLAR BLUFF R-I,Eugene Field Elementary School,2,3,3,3,3,2,3,4,4,4,4,1,4,5,4,4,4,5,5,5,5,4,4,4,4
Baseline,2017-03-01 10:08,R_CmrAzN6AQ4diObv,Teacher,MOUND CITY R-II,Mound City Elementary,4,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 10:09,R_88oMxKrGhwz0tXz,Teacher,MCDONALD CO. R-I,Noel Primary,3,4,4,5,3,2,3,3,3,,4,1,3,2,1,3,4,2,4,3,3,4,2,4,2
Baseline,2017-03-01 10:09,R_9EkPP4x00BN92FP,Special Educator,FT. ZUMWALT R-II,Ostmann Elementary School,3,4,3,4,5,4,4,5,5,4,5,0,,,,5,5,5,4,5,4,4,3,4,3
Baseline,2017-03-01 10:12,R_1E5ydo8NNyNXGC1,Teacher,POPLAR BLUFF R-I,Eugene Field Elementary School,3,5,5,4,2,4,5,5,5,4,5,1,4,5,5,5,5,5,5,5,5,4,4,4,3
Baseline,2017-03-01 10:42,R_1E7h6bihHyEk5VK,Teacher,MCDONALD CO. R-I,Southwest City Elementary,1,2,3,3,4,2,5,2,2,4,4,1,5,4,3,5,4,5,5,5,5,5,3,5,4
Baseline,2017-03-01 10:45,R_1pR1fgvpizF3ThV,Instructional Coach,POPLAR BLUFF R-I,Eugene Field Elementary School,5,5,4,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 10:54,R_1d5jNZp8XWDwYrr,Teacher,MCDONALD CO. R-I,Southwest City Elementary,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 10:57,R_5Bci3bMKiELfoNr,Teacher,MCDONALD CO. R-I,Southwest City Elementary,5,4,4,4,3,3,4,3,3,4,3,0,,,,4,4,4,4,4,4,4,3,3,3
Baseline,2017-03-01 11:01,R_3XcVSs2qKOcK0rT,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,1,4,2,5,2,1,5,5,5,4,5,1,5,4,5,4,5,5,5,5,4,5,5,5,5
Baseline,2017-03-01 11:02,R_Rt80dYrqtbTvCP7,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,4,4,3,5,2,4,5,5,5,5,5,1,5,5,5,5,5,2,3,2,2,5,2,2,5
Baseline,2017-03-01 11:02,R_0ciZ2hroSpIHl4Z,Special Educator,POPLAR BLUFF R-I,Eugene Field Elementary School,3,3,4,4,4,4,4,4,5,4,5,1,5,5,5,5,4,5,5,5,5,5,5,5,5
Baseline,2017-03-01 11:02,R_11jW1kGICUj6Bgt,Teacher,SEDALIA 200,Sedalia Middle School,2,4,4,5,2,2,5,5,5,5,5,1,5,5,5,5,5,4,4,4,5,5,5,5,5
Baseline,2017-03-01 11:02,R_1FnbL6CX2ijSSBZ,Instructional Coach,SEDALIA 200,Sedalia Middle School,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 11:05,R_3HpM9w5QGQQGrTG,Teacher,SEDALIA 200,Sedalia Middle School,3,4,4,4,4,4,5,4,5,4,4,1,5,5,5,4,5,4,4,4,4,4,4,4,3
Baseline,2017-03-01 11:06,R_3PXARsran9d72AG,Teacher,FT. ZUMWALT R-II,Ostmann Elementary School,4,4,5,5,5,4,4,5,5,5,5,1,5,5,5,5,5,4,4,4,4,4,4,4,4
Baseline,2017-03-01 11:12,R_25HE03InR0Bd9I9,Building Administrator,MERAMEC VALLEY R-III,Truman Elementary,2,4,3,4,2,4,5,5,5,3,4,1,5,5,3,5,3,4,3,5,4,5,5,5,3
Baseline,2017-03-01 11:13,R_Y9BcZ8E0KVogVRT,Building Administrator,SEDALIA 200,Sedalia Middle School,4,2,3,4,3,2,5,5,5,4,5,0,,,,5,4,5,5,5,5,5,5,5,3
Baseline,2017-03-01 11:16,R_1QG8OFE4avyuYYb,Instructional Coach,FT. ZUMWALT R-II,Ostmann Elementary School,2,3,2,4,2,3,4,5,5,2,4,0,,,,4,5,5,5,5,4,5,5,4,5
Baseline,2017-03-01 11:22,R_3O7eoSZfaHmbZqW,Teacher,MOUND CITY R-II,Mound City Elementary,1,4,4,4,2,3,5,3,5,4,3,1,5,5,4,4,4,2,4,3,2,4,4,4,3
Baseline,2017-03-01 11:28,R_wM3AIFtIVm9xCQp,Special Educator,FT. ZUMWALT R-II,Ostmann Elementary School,4,4,4,4,5,4,5,5,5,5,5,0,,,,5,5,4,5,5,4,5,5,5,4
Baseline,2017-03-01 11:34,R_WfJWQbhCAcOqahX,Teacher,MERAMEC VALLEY R-III,Coleman Elementary,3,5,4,5,4,4,5,4,4,5,5,0,,,,4,5,5,5,5,5,5,4,3,4
Baseline,2017-03-01 11:34,R_3mkjkSHsaUouTCr,Teacher,FT. ZUMWALT R-II,Forest Park Elementary School,3,2,4,3,4,2,4,5,5,3,5,1,5,5,5,4,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 11:54,R_2ZCS1APkoFJiTxf,Teacher,MERAMEC VALLEY R-III,Zitzman Elementary,4,4,2,4,4,3,5,5,3,5,5,1,2,4,1,4,4,5,5,5,4,4,4,4,4
Baseline,2017-03-01 11:59,R_Ryq7CXWbw3Ev86l,Teacher,MCDONALD CO. R-I,WHITE ROCK ELEM.,1,2,1,5,1,1,5,4,4,1,5,1,4,4,4,4,4,5,5,5,5,5,5,4,1
Baseline,2017-03-01 12:07,R_2urqxuU5V7J8TgU,Teacher,FT. ZUMWALT R-II,Ostmann Elementary School,2,3,4,5,4,4,5,5,5,5,4,1,3,5,5,5,4,4,5,5,5,5,4,5,5
Baseline,2017-03-01 12:07,R_1pAkZbNrHfXyysZ,Special Educator,MCDONALD CO. R-I,Southwest City Elementary,5,4,3,5,5,4,5,4,5,5,5,0,,,,5,5,5,5,5,5,5,5,5,5
Baseline,2017-03-01 12:34,R_1jWc7jcgMSaoSpA,Teacher,MERAMEC VALLEY R-III,Truman Elementary,2,5,4,4,4,4,5,5,5,5,5,1,2,4,5,4,5,4,4,4,3,3,2,4,2
Baseline,2017-03-01 12:57,R_1l3IAykPefNP30z,Special Educator,MCDONALD CO. R-I,Pineville Elementary,4,3,2,4,4,3,4,5,5,5,4,0,,,,4,4,4,4,4,4,5,4,4,3
Baseline,2017-03-01 13:20,R_1exDcITm91Y4bl7,Teacher,BELTON 124,Hillcrest Steam Academy,2,4,3,5,2,4,5,5,5,5,5,1,5,5,5,5,5,2,4,5,2,4,4,5,2
