"","resp.id","unit.id","time.period","end","role","district","building","etl.instructionstatestandards","team.member","etl.learningtargets","etl.studentsassess","etl.studentsidentify","etl.feedbacktotargets","etl.studenttostudentfeedback","etl.studentsstatecriteria","cfa.usecfa","cfa.allincfa","etl.cfa.studentreviewscfa","cfa.cfausedtoplan","dbdm.teamreviewsdata","dbdm.teampositive","dbdm.effectiveteamingpractices","dbdm.datadeterminepractices","dbdm.visualrepresetations","lead.leadersmanage","lead.teachertoteacherfeedback","lead.leadercommitted","lead.leaderactive","pd.pdinstruction","pd.coachinginstruction","pd.pdmonitor","pd.teacherfeedbackinstruction","row.id","building.id","building.level"
"1","123","ferguson-florissant r-ii","2018-19 spring","3/1/2019 10:35","other","ferguson-florissant r-ii","ferguson middle",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2133,"ferguson-florissant r-ii_ferguson middle","middle"
"2","123","ferguson-florissant r-ii","2018-19 spring","3/1/2019 10:35","other","ferguson-florissant r-ii","ferguson middle",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2133,"ferguson-florissant r-ii_ferguson middle","middle"
"3","r_1mouumzcszvqpnj","northeast randolph co. r-iv","baseline","3/29/2018","building administrator","northeast randolph co. r-iv","northeast elem.",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,8831,"northeast randolph co. r-iv_northeast elem.","elem."
"4","r_1mouumzcszvqpnj","northeast randolph co. r-iv","baseline","3/29/2018","building administrator","northeast randolph co. r-iv","northeast elem.",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,8831,"northeast randolph co. r-iv_northeast elem.","mult."
"5","421","northeast randolph co. r-iv","2018-19 spring","3/4/2019 14:07","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,8832,"northeast randolph co. r-iv_northeast elem.","elem."
"6","421","northeast randolph co. r-iv","2018-19 spring","3/4/2019 14:07","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,8832,"northeast randolph co. r-iv_northeast elem.","mult."
"7","8126","northeast randolph co. r-iv","2018-19 spring","3/26/2019 16:24","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,2,4,1,4,4,4,4,4,3,4,3,4,4,8833,"northeast randolph co. r-iv_northeast elem.","elem."
"8","8126","northeast randolph co. r-iv","2018-19 spring","3/26/2019 16:24","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,2,4,1,4,4,4,4,4,3,4,3,4,4,8833,"northeast randolph co. r-iv_northeast elem.","mult."
"9","490","northeast randolph co. r-iv","2018-19 spring","3/4/2019 16:08","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8834,"northeast randolph co. r-iv_northeast elem.","elem."
"10","490","northeast randolph co. r-iv","2018-19 spring","3/4/2019 16:08","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8834,"northeast randolph co. r-iv_northeast elem.","mult."
"11","8950","northeast randolph co. r-iv","2018-19 spring","3/28/2019 9:20","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,4,8835,"northeast randolph co. r-iv_northeast elem.","elem."
"12","8950","northeast randolph co. r-iv","2018-19 spring","3/28/2019 9:20","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,4,8835,"northeast randolph co. r-iv_northeast elem.","mult."
"13","10097","northeast randolph co. r-iv","2018-19 spring","3/31/2019 3:29","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,3,4,5,5,4,5,5,5,5,5,5,5,5,5,4,3,4,5,4,4,3,3,8836,"northeast randolph co. r-iv_northeast elem.","elem."
"14","10097","northeast randolph co. r-iv","2018-19 spring","3/31/2019 3:29","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,3,4,5,5,4,5,5,5,5,5,5,5,5,5,4,3,4,5,4,4,3,3,8836,"northeast randolph co. r-iv_northeast elem.","mult."
"15","8664","northeast randolph co. r-iv","2018-19 spring","3/27/2019 15:21","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,8837,"northeast randolph co. r-iv_northeast elem.","elem."
"16","8664","northeast randolph co. r-iv","2018-19 spring","3/27/2019 15:21","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,8837,"northeast randolph co. r-iv_northeast elem.","mult."
"17","8780","northeast randolph co. r-iv","2018-19 spring","3/27/2019 17:38","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,0,4,4,4,4,4,4,5,5,4,5,NA,NA,NA,4,5,4,4,4,4,4,4,4,4,8838,"northeast randolph co. r-iv_northeast elem.","elem."
"18","8780","northeast randolph co. r-iv","2018-19 spring","3/27/2019 17:38","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,0,4,4,4,4,4,4,5,5,4,5,NA,NA,NA,4,5,4,4,4,4,4,4,4,4,8838,"northeast randolph co. r-iv_northeast elem.","mult."
"19","509","northeast randolph co. r-iv","2018-19 spring","3/4/2019 16:10","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,3,4,2,4,3,3,2,4,3,3,3,5,4,3,4,4,5,4,4,4,4,4,4,8839,"northeast randolph co. r-iv_northeast elem.","elem."
"20","509","northeast randolph co. r-iv","2018-19 spring","3/4/2019 16:10","classroom teacher","northeast randolph co. r-iv","northeast elem.",4,1,3,4,2,4,3,3,2,4,3,3,3,5,4,3,4,4,5,4,4,4,4,4,4,8839,"northeast randolph co. r-iv_northeast elem.","mult."
"21","521","northeast randolph co. r-iv","2018-19 spring","3/4/2019 16:25","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,2,2,5,2,3,5,3,3,4,5,5,4,5,5,5,5,4,4,4,4,4,2,8840,"northeast randolph co. r-iv_northeast elem.","elem."
"22","521","northeast randolph co. r-iv","2018-19 spring","3/4/2019 16:25","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,4,2,2,5,2,3,5,3,3,4,5,5,4,5,5,5,5,4,4,4,4,4,2,8840,"northeast randolph co. r-iv_northeast elem.","mult."
"23","6293","northeast randolph co. r-iv","2018-19 spring","3/21/2019 16:27","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,2,2,2,4,2,2,5,5,5,5,2,4,4,4,4,5,5,4,5,4,4,4,3,8841,"northeast randolph co. r-iv_northeast elem.","elem."
"24","6293","northeast randolph co. r-iv","2018-19 spring","3/21/2019 16:27","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,2,2,2,4,2,2,5,5,5,5,2,4,4,4,4,5,5,4,5,4,4,4,3,8841,"northeast randolph co. r-iv_northeast elem.","mult."
"25","r_2av94zpejkeyf7p","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8842,"northeast randolph co. r-iv_northeast elem.","elem."
"26","r_2av94zpejkeyf7p","northeast randolph co. r-iv","baseline","3/12/2018","classroom teacher","northeast randolph co. r-iv","northeast elem.",5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8842,"northeast randolph co. r-iv_northeast elem.","mult."
