"","building.id","building.level"
"1","aurora r-viii_other",NA
"2","belton 124_bosco",NA
"3","belton 124_gladden elem.",NA
"4","belton 124_hillcrest steam academy",NA
"5","brookfield r-iii_other",NA
"6","cameron r-i_cameron high school",NA
"7","desoto 73_early childhood center",NA
"8","fort osage r-i_other",NA
"9","ft. zumwalt r-ii_ft. zuwmalt west middle",NA
"10","ft. zumwalt r-ii_other",NA
"11","hannibal 60_early education center",NA
"12","hannibal 60_eugene field elementary",NA
"13","hickman mills c-1_early childhood ctr.",NA
"14","hickman mills c-1_other",NA
"15","holden r-iii_holden middle",NA
"16","horrace mann lab school_other",NA
"17","leesville r-ix_other",NA
"18","lewis co. c-1_other",NA
"19","linn co. r-i_other",NA
"20","lonedell r-xiv_other",NA
"21","madison c-3_other",NA
"22","malden r-i_malden elementary",NA
"23","maryville r-ii_other",NA
"24","meramec valley r-iii_other",NA
"25","milan c-2_other",NA
"26","new madrid co. r-i_central middle",NA
"27","new madrid co. r-i_other",NA
"28","north st. francois co. r-i_other",NA
"29","northeast randolph co. r-iv_northeast high",NA
"30","northeast randolph co. r-iv_other",NA
"31","pattonville r-iii_holman middle school",NA
"32","pattonville r-iii_pattonville heights middle school",NA
"33","pattonville r-iii_robert drummond elementary",NA
"34","perry co. 32_other",NA
"35","plato r-v_other",NA
"36","poplar bluff r-i_other",NA
"37","raytown c-2_laurel hills",NA
"38","raytown c-2_laurel hills elem.",NA
"39","raytown c-2_raytown central middle",NA
"40","raytown c-2_raytown high",NA
"41","raytown c-2_southwood",NA
"42","salem r-80_other",NA
"43","scotland co. r-i_other",NA
"44","sedalia 200_other",NA
"45","sheldon r-viii_other",NA
"46","sheldon r-viii_sheldon k-12",NA
"47","sikeston r-6_other",NA
"48","smithville r-ii_other",NA
"49","smithville r-ii_smithville high",NA
"50","st. charles r-vi_lewis & clark career ctr.",NA
"51","st. charles r-vi_st. charles west high",NA
"52","university academy_university academy lower",NA
"53","university academy_university academy middle",NA
"54","university academy_university academy upper",NA
"55","warrensburg r-vi_maple grove elementary",NA
"56","warrensburg r-vi_other",NA
"57","waynesville r-vi_early childhood center",NA
"58","waynesville r-vi_other",NA
"59","wentzville r-iv_other",NA
"60","willow springs r-iv_other",NA
"61","winfield r-iv_other",NA
"62","worth co. r-iii_other",NA
